K	water	block	seeds	vpods	tpods
0	37.5	I	136	22	56
0.3	37.5	I	159	2	62
0.6	37.5	I	156	0	66
1.2	37.5	I	171	2	68
1.8	37.5	I	190	0	82
0	50	I	140	20	63
0.3	50	I	193	6	86
0.6	50	I	200	6	94
1.2	50	I	208	7	86
1.8	50	I	237	10	97
0	62.5	I	132	23	58
0.3	62.5	I	178	10	80
0.6	62.5	I	231	5	99
1.2	62.5	I	271	0	110
1.8	62.5	I	262	1	106
0	37.5	II	120	22	48
0.3	37.5	II	146	0	64
0.6	37.5	II	159	1	62
1.2	37.5	II	152	0	60
1.8	37.5	II	159	0	62
0	50	II	124	12	52
0.3	50	II	239	9	103
0.6	50	II	248	4	103
1.2	50	II	190	1	87
1.8	50	II	240	4	101
0	62.5	II	140	14	64
0.3	62.5	II	167	7	77
0.6	62.5	II	237	3	96
1.2	62.5	II	240	1	94
1.8	62.5	II	248	0	105
0	37.5	III	106	4	44
0.3	37.5	III	157	3	63
0.6	37.5	III	204	1	84
1.2	37.5	III	169	0	66
1.8	37.5	III	147	1	58
0	50	III	133	22	56
0.3	50	III	199	7	81
0.6	50	III	211	3	92
1.2	50	III	223	7	91
1.8	50	III	261	5	100
0	62.5	III	128	21	50
0.3	62.5	III	164	9	71
0.6	62.5	III	216	3	94
1.2	62.5	III	215	2	89
1.8	62.5	III	228	2	89
0	37.5	IV	125	11	60
0.3	37.5	IV	185	7	75
0.6	37.5	IV	159	1	67
1.2	37.5	IV	176	2	76
1.8	37.5	IV	154	1	63
0	50	IV	133	27	51
0.3	50	IV	149	4	60
0.6	50	IV	170	1	67
1.2	50	IV	215	2	90
1.8	50	IV	186	4	80
0	62.5	IV	147	18	62
0.3	62.5	IV	154	10	67
0.6	62.5	IV	179	2	75
1.2	62.5	IV	229	0	90
1.8	62.5	IV	216	1	87
0	37.5	V	92	5	36
0.3	37.5	V	133	5	57
0.6	37.5	V	139	2	53
1.2	37.5	V	166	0	69
1.8	37.5	V	128	1	50
0	50	V	131	26	57
0.3	50	V	150	1	61
0.6	50	V	218	4	92
1.2	50	V	236	1	96
1.8	50	V	261	4	110
0	62.5	V	150	17	69
0.3	62.5	V	156	13	63
0.6	62.5	V	215	3	95
1.8	62.5	V	208	2	90
